  EUV fluxes summed into user specified bins
 Bin     WL_LO    WL_HI    Ave_A    Ave_nm  Flux(ph/cm2/s)   Flux(W/m2/nm)
   95   940.00   950.00   945.00    94.50      3.963E+08      8.327E-06
   96   950.00   960.00   955.00    95.50      4.782E+07      9.944E-07
   97   960.00   970.00   965.00    96.50      5.725E+07      1.178E-06
   98   970.00   980.00   975.00    97.50      4.942E+09      1.007E-04
   99   980.00   990.00   985.00    98.50      2.474E+08      4.987E-06
  100   990.00  1000.00   995.00    99.50      4.289E+08      8.561E-06
  101  1000.00  1010.00  1005.00   100.50      1.177E+08      2.326E-06
  102  1010.00  1020.00  1015.00   101.50      2.188E+08      4.282E-06
  103  1020.00  1030.00  1025.00   102.50      3.554E+09      6.885E-05
  104  1030.00  1040.00  1035.00   103.50      3.680E+09      7.061E-05
  105  1040.00  1050.00  1045.00   104.50      2.419E+08      4.597E-06
  106  1050.00  1060.00  1055.00   105.50      1.382E+08      2.601E-06
