This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE STAN BANDS.
This file was created on 2024-05-21T15:31:02
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 23 wavelength bands conventionally used in
numerous atmospheric models, such as SAMI3.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107B(t) ** D_i) + E_i * (F107B(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107B(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
0.5 4.0 0.42715640098732016 1.0000000002987401 -0.427156400726747 1.0000000001511993 0.42715639980850356 -3.24894941345807e-08
4.0 8.0 0.4251822503923371 1.0000000028862717 -0.42518222820682633 1.000000002612511 0.42518223354616974 -1.4316235454939193e-06
8.0 18.0 0.3546154040153728 1.000000137115331 -0.3546141418723827 1.000000190216593 0.3546149126427205 -7.427073810875958e-05
18.0 32.0 0.4063229116352022 1.000000134772483 -0.40632141068331395 1.0000002035636641 0.40632243504927157 -8.282313651105908e-05
32.0 70.0 0.4821394397248549 0.9999998104337064 -0.48213198774538085 1.000001308305183 0.48213720277526045 -0.0002187009546785973
70.0 155.0 0.4042632595488583 0.9999992650481311 -0.40425372068522725 1.0000023824230986 0.4042606208797854 -0.00014514164318851178
155.0 224.0 0.5627878388191853 0.9999987332447557 -0.5627614933081986 1.0000049065203933 0.56278119306381 -0.0003445399490978303
224.0 290.0 0.15070884931253692 0.999995558358277 -0.15069104367331979 1.0000111351922585 0.15070297424977097 -0.0003223135134696562
290.0 320.0 0.25501474453934586 0.9999979484584436 -0.25500636237406865 1.0000021878528342 0.2550101869895682 0.00022341357543416651
320.0 540.0 0.121858951594253 0.999996024107883 -0.12184637241844348 1.0000095516593062 0.12185466819962415 -0.000119970454525201
540.0 650.0 0.39945663696895717 0.9999996604337099 -0.39945367642223245 1.0000006251066325 0.3994554741239135 8.347136865039744e-05
650.0 798.0 0.4244876610844585 0.9999999478662059 -0.42448692013327954 1.0000001754729078 0.4244874388652633 6.0639891421967376e-05
650.0 798.0 0.43383103794450634 0.9999999573394812 -0.43383062113589066 1.0000000816343386 0.43383087343870785 3.7164894882753815e-05
798.0 913.0 0.452542957903974 0.999999898881602 -0.45254179790519194 1.0000002408966886 0.4525425538921223 2.202449592029473e-05
798.0 913.0 0.4373080050236065 0.9999996373348456 -0.43730459888354367 1.000000664007686 0.43730663986434376 6.982074943090211e-05
798.0 913.0 0.4413432987105695 0.999999849834308 -0.4413417777043897 1.0000003039725356 0.4413427160549935 3.848069840078493e-05
913.0 975.0 0.44529344779577096 0.9999999700151802 -0.4452931981251691 1.000000042774189 0.4452933362640252 8.632570927192097e-06
913.0 975.0 0.427088103543881 0.9999999137185143 -0.4270873687204325 1.000000136840094 0.4270877986258719 1.6270755773042194e-05
913.0 975.0 0.423039722324152 0.9999999184792879 -0.4230391323831897 1.0000000987806008 0.4230394360744996 1.2189956296126494e-05
975.0 987.0 0.3751930844925533 0.9999997772460073 -0.37519162123353245 1.00000028078136 0.3751924233505289 8.32253154553281e-05
987.0 1027.0 0.47666496335057357 0.9999997772732642 -0.47666291331012905 1.0000003350147106 0.47666408422710804 4.328910497001431e-05
1027.0 1050.0 0.5487008390116985 0.9999997949855779 -0.5486987945119264 1.0000002789071052 0.5486999283342014 5.866646551044175e-05
