This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE STAN BANDS.
This file was created on 2024-03-04T17:07:10
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 23 wavelength bands conventionally used in
numerous atmospheric models, such as SAMI3.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107A(t) ** D_i) + E_i * (F107A(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107A(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
0.5 4.0 0.427163833805734 1.0000000002987357 -0.4271638335451462 1.0000000001512033 0.4271638326269296 -3.2489787969337176e-08
4.0 8.0 0.42405129405024417 1.0000000028939644 -0.42405127186469715 1.0000000026194877 0.42405127720405683 -1.4316243811213496e-06
8.0 18.0 0.4242372365133926 1.000000114614587 -0.42423597436595917 1.0000001590028662 0.42423674514365833 -7.427081577459019e-05
18.0 32.0 0.4645598494092279 1.0000001178774 -0.46455834845717203 1.0000001780449383 0.46455937282301163 -8.282313858866966e-05
32.0 70.0 0.20590056485873745 0.9999995561081411 -0.20589311289742482 1.0000030635768307 0.20589832790842963 -0.00021870084165620751
70.0 155.0 0.4456419801474812 0.9999993332895732 -0.44563244127941865 1.0000021612084784 0.44563934147719714 -0.00014514168234737405
155.0 224.0 0.055846853043393124 0.9999872336369877 -0.05582050954504138 1.0000494528382933 0.0558402071507742 -0.00034452592755534973
224.0 290.0 0.8458840277622115 0.999999208661352 -0.8458662218990909 1.0000019838398624 0.8458781527412707 -0.00032231503117004527
290.0 320.0 0.3602254791137089 0.999998547655372 -0.36021709694859 1.0000015488389786 0.3602209215687465 0.00022341358788373832
320.0 540.0 0.26124011090100074 0.9999981454134939 -0.26122753163913964 1.0000044553850391 0.2612358275220165 -0.0001199710463433926
540.0 650.0 0.4312047752495693 0.9999996854343817 -0.4312018147025238 1.000000579081479 0.4312036124033044 8.347136672792942e-05
650.0 798.0 0.40765640982122736 0.9999999457137289 -0.40765566886974136 1.0000001827179479 0.4076561876021702 6.063988424441688e-05
650.0 798.0 0.4202590688678548 0.9999999559618024 -0.4202586520589029 1.0000000842707757 0.42025890436214675 3.716488632027981e-05
798.0 913.0 0.44725906150420014 0.9999998976870763 -0.44725790150508943 1.0000002437428772 0.44725865749265936 2.202448685269004e-05
798.0 913.0 0.4640249669252111 0.9999996582157514 -0.4640215607848817 1.0000006257761693 0.46402360176561447 6.982074485103443e-05
798.0 913.0 0.4156152358533409 0.9999998405385221 -0.41561371484718973 1.000000322789559 0.415614653197769 3.848069901699167e-05
913.0 975.0 0.43119604403526934 0.9999999690349263 -0.4311957943650931 1.0000000441725312 0.4311959325036578 8.632578482131668e-06
913.0 975.0 0.4004227008218582 0.9999999079727089 -0.40042196599834 1.0000001459526389 0.40042239590349904 1.627075750353171e-05
913.0 975.0 0.4081612833251158 0.9999999155076428 -0.4081606933840875 1.0000001023813787 0.408160997075403 1.2189955577782726e-05
975.0 987.0 0.5022129739729414 0.9999998335848737 -0.5022115107135284 1.0000002097657363 0.5022123128298218 8.32253116198282e-05
987.0 1027.0 0.47857020479957685 0.9999997781599398 -0.4785681547604289 1.0000003336808516 0.47856932567615035 4.3289135322400656e-05
1027.0 1050.0 0.4931509934614171 0.999999771892139 -0.4931489489616627 1.000000310324006 0.49315008278379185 5.866646431237674e-05
