This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE GITM BINS.
This file was created on 2024-05-21T15:29:33
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 59 wavelength bands conventionally used in
the GITM and Aether models.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107B(t) ** D_i) + E_i * (F107B(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107B(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
1.0 2.0 0.44378352918446085 1.0000000000012483 -0.44378352918555053 1.000000000000278 0.4437835291726643 -1.8686342142523773e-11
2.0 4.0 0.453794775532691 1.000000000034311 -0.4537947755450252 0.9999999999981731 0.4537947751949271 -3.3354743552224288e-09
4.0 8.0 0.47693985969845637 1.000000001240545 -0.4769398510046222 1.0000000008652024 0.47693985065276384 -5.938279427540088e-07
8.0 16.0 0.40040624199884645 1.0000000450354931 -0.4004058010662052 1.0000000568296041 0.4004060358023028 -2.6480208846121302e-05
16.0 23.0 0.44336681756874274 1.0000001112512178 -0.44336548323319547 1.0000001650887151 0.4433663815127328 -7.523070072152095e-05
23.0 32.0 0.42335279467200265 1.0000000381021446 -0.4233523542338081 1.0000000573626209 0.42335265613472844 -2.3781879006489844e-05
32.0 50.0 0.3498927606261378 1.000000151951251 -0.3498913062294502 1.0000002294245454 0.3498923067143818 -7.311965926511762e-05
50.0 100.0 0.6266291633110105 0.9999995703191877 -0.6266177190590946 1.000001800473541 0.6266261123779725 -0.0002452200768555857
100.0 150.0 0.4627416954062345 0.9999997375836367 -0.46273866113597795 1.000000599174463 0.4627406553050945 -3.034102923790114e-05
150.0 200.0 0.47510573503957326 0.9999989957745712 -0.47509034783132703 1.0000032573470836 0.475101391708725 -0.00010094689347894719
200.0 250.0 0.601812991430908 0.999999287581327 -0.6017976686433595 1.000002649312768 0.6018090264849563 -0.00026705536935211035
256.3 256.3 0.3860693602559915 0.999999844154802 -0.3860673889337866 1.000000519142378 0.38606879735977606 -1.5235465834229313e-05
284.15 284.15 0.429659745031238 0.999999489871286 -0.4296552809063833 1.0000008597253074 0.4296579113842506 -0.00012497361535594462
250.0 300.0 0.5082113822970195 0.9999996193345332 -0.5082050531432952 1.000001260904536 0.5082096132590873 -0.00011961510027814099
303.31 303.31 0.5124152331826816 0.9999990269881339 -0.512407872926383 1.0000008886673333 0.5124110521643281 0.0002000938223555434
303.78 303.78 0.4272490799118317 0.9999999927649132 -0.42724900320228615 1.000000017333467 0.4272490523241029 4.5734914516174335e-07
300.0 350.0 0.6373120466019372 0.9999997762009165 -0.6373062856754006 1.0000009635229457 0.6373105630986118 -7.705457060710543e-05
368.07 368.07 0.42054325828310807 0.9999998846566939 -0.42054240717736424 1.0000001464297472 0.42054285629541194 1.2565788685488417e-05
350.0 400.0 0.39655543145241307 0.9999996747742992 -0.39655144673014736 1.0000010109919337 0.3965542831618927 -6.651434270954743e-05
400.0 450.0 0.4379414228202183 0.9999999081823724 -0.4379405341611863 1.0000001677165082 0.43794104966082054 6.22379242378647e-06
465.22 465.22 0.4182567921438213 0.9999999964842142 -0.4182567331891029 1.0000000128951012 0.41825676039263726 1.2961963022774786e-05
450.0 500.0 0.44285961004191904 0.9999997941585421 -0.4428579371072861 1.0000002833170534 0.4428588620251054 -1.5060122692843415e-05
500.0 550.0 0.4501092577623246 0.999999849978694 -0.45010802835074915 1.0000002030292319 0.45010870029430056 -1.3032461721563276e-06
554.37 554.37 0.4236923216833427 0.999999990733794 -0.4236922461718671 1.0000000133821796 0.42369228353023247 2.0989612604013925e-05
584.33 584.33 0.4340993194149566 0.9999998561477678 -0.4340985367117722 1.0000000875257538 0.4340988062828076 2.0346767859268737e-05
550.0 600.0 0.4257430919954405 0.9999999671177396 -0.42574270135588327 1.0000000865037144 0.4257429646191798 5.92572267532218e-06
609.76 609.76 0.43477194449319256 0.9999999501102086 -0.43477111837593857 1.000000201030327 0.43477174870605595 -5.88391490784139e-06
629.73 629.73 0.4192336791051365 0.9999999616638494 -0.4192334193498166 1.000000040356388 0.4192335477811874 4.3196257561491386e-05
600.0 650.0 0.4393840088415329 0.9999999681221349 -0.4393834723629238 1.0000001292769454 0.43938388098293024 -2.8682430518136267e-06
650.0 700.0 0.4226567700951018 0.9999999897282287 -0.4226566146204072 1.0000000380820446 0.42265673037920787 1.0543028119984157e-05
703.31 703.31 0.42550800620022017 0.9999999955827266 -0.42550798901253356 1.0000000007478556 0.42550799105720455 1.0116403585780807e-05
700.0 750.0 0.43073148460195365 0.9999999874031636 -0.43073123815635395 1.000000064049802 0.43073143496828004 9.75306535935043e-06
765.15 765.15 0.4246045431829562 0.9999999945389446 -0.42460450179933207 1.0000000072595916 0.4246045244984731 1.0171361477256867e-05
770.41 770.41 0.4271753515317436 1.0000000011267072 -0.4271753106415658 1.0000000111616845 0.4271753322599212 1.1301434230719569e-05
789.36 789.36 0.4211294564263314 0.9999999899465538 -0.42112936594424827 1.0000000171061145 0.4211294180505645 1.0354317178944692e-05
